UTC Time,LOCAL Time (Chicago),Electricity [kW],Wind Speed [m/s]
01/01/2019 00:00,31/12/2018 18:00,23237.99,5.02
01/01/2019 01:00,31/12/2018 19:00,63343.55,6.99
01/01/2019 02:00,31/12/2018 20:00,131065.61,9.58
01/01/2019 03:00,31/12/2018 21:00,152393.81,10.58
01/01/2019 04:00,31/12/2018 22:00,149915.38,10.45
01/01/2019 05:00,31/12/2018 23:00,146929.95,10.3
01/01/2019 06:00,01/01/2019 00:00,139550.13,9.94
01/01/2019 07:00,01/01/2019 01:00,131768.21,9.61
01/01/2019 08:00,01/01/2019 02:00,127964.67,9.44
01/01/2019 09:00,01/01/2019 03:00,118386.23,9.07
01/01/2019 10:00,01/01/2019 04:00,120763.77,9.15
01/01/2019 11:00,01/01/2019 05:00,117643.35,9.03
01/01/2019 12:00,01/01/2019 06:00,117691.84,9.04
01/01/2019 13:00,01/01/2019 07:00,116020.24,8.98
01/01/2019 14:00,01/01/2019 08:00,119204.44,9.1
01/01/2019 15:00,01/01/2019 09:00,100245.21,8.38
01/01/2019 16:00,01/01/2019 10:00,72077.5,7.33
01/01/2019 17:00,01/01/2019 11:00,49061.94,6.4
01/01/2019 18:00,01/01/2019 12:00,30741.57,5.49
01/01/2019 19:00,01/01/2019 13:00,21182.52,4.88
01/01/2019 20:00,01/01/2019 14:00,16243.4,4.51
01/01/2019 21:00,01/01/2019 15:00,14434.8,4.36
01/01/2019 22:00,01/01/2019 16:00,13130.27,4.25
01/01/2019 23:00,01/01/2019 17:00,17927.43,4.64
02/01/2019 00:00,01/01/2019 18:00,28145.92,5.33
02/01/2019 01:00,01/01/2019 19:00,27648.54,5.3
02/01/2019 02:00,01/01/2019 20:00,26414.7,5.23
02/01/2019 03:00,01/01/2019 21:00,24543.86,5.11
02/01/2019 04:00,01/01/2019 22:00,17860.58,4.63
02/01/2019 05:00,01/01/2019 23:00,14036.73,4.33
02/01/2019 06:00,02/01/2019 00:00,12327.04,4.17
02/01/2019 07:00,02/01/2019 01:00,9822.6,3.93
02/01/2019 08:00,02/01/2019 02:00,6429.34,3.53
02/01/2019 09:00,02/01/2019 03:00,9087.78,3.85
02/01/2019 10:00,02/01/2019 04:00,17733.37,4.62
02/01/2019 11:00,02/01/2019 05:00,31312.54,5.52
02/01/2019 12:00,02/01/2019 06:00,56475.71,6.71
02/01/2019 13:00,02/01/2019 07:00,59399.74,6.84
02/01/2019 14:00,02/01/2019 08:00,38351.53,5.89
02/01/2019 15:00,02/01/2019 09:00,22702.43,4.99
02/01/2019 16:00,02/01/2019 10:00,9745.09,3.92
02/01/2019 17:00,02/01/2019 11:00,3423.28,3.07
02/01/2019 18:00,02/01/2019 12:00,2925.29,2.96
02/01/2019 19:00,02/01/2019 13:00,4318.04,3.21
02/01/2019 20:00,02/01/2019 14:00,16691.35,4.54
02/01/2019 21:00,02/01/2019 15:00,27087.04,5.27
02/01/2019 22:00,02/01/2019 16:00,18334.53,4.68
02/01/2019 23:00,02/01/2019 17:00,8572.46,3.79
03/01/2019 00:00,02/01/2019 18:00,4335.21,3.22
03/01/2019 01:00,02/01/2019 19:00,3318.36,3.05
03/01/2019 02:00,02/01/2019 20:00,3083.37,3
03/01/2019 03:00,02/01/2019 21:00,4912.55,3.32
03/01/2019 04:00,02/01/2019 22:00,9666.8,3.9
03/01/2019 05:00,02/01/2019 23:00,15260.3,4.43
03/01/2019 06:00,03/01/2019 00:00,16096.53,4.5
03/01/2019 07:00,03/01/2019 01:00,15702.39,4.47
03/01/2019 08:00,03/01/2019 02:00,17586.75,4.62
03/01/2019 09:00,03/01/2019 03:00,16752.19,4.55
03/01/2019 10:00,03/01/2019 04:00,18744.06,4.71
03/01/2019 11:00,03/01/2019 05:00,23122.1,5.02
03/01/2019 12:00,03/01/2019 06:00,23192.31,5.02
03/01/2019 13:00,03/01/2019 07:00,19415.7,4.76
03/01/2019 14:00,03/01/2019 08:00,12995.05,4.24
03/01/2019 15:00,03/01/2019 09:00,17282.23,4.6
03/01/2019 16:00,03/01/2019 10:00,25102.58,5.15
03/01/2019 17:00,03/01/2019 11:00,41118.66,6.03
03/01/2019 18:00,03/01/2019 12:00,66811.39,7.13
03/01/2019 19:00,03/01/2019 13:00,92619.08,8.1
03/01/2019 20:00,03/01/2019 14:00,109346.47,8.72
03/01/2019 21:00,03/01/2019 15:00,110632.12,8.77
03/01/2019 22:00,03/01/2019 16:00,80539.51,7.65
03/01/2019 23:00,03/01/2019 17:00,51423.4,6.5
04/01/2019 00:00,03/01/2019 18:00,41716.53,6.06
04/01/2019 01:00,03/01/2019 19:00,33784.65,5.66
04/01/2019 02:00,03/01/2019 20:00,42741.59,6.1
04/01/2019 03:00,03/01/2019 21:00,65627.47,7.09
04/01/2019 04:00,03/01/2019 22:00,84095.13,7.79
04/01/2019 05:00,03/01/2019 23:00,106874.29,8.63
04/01/2019 06:00,04/01/2019 00:00,121775.29,9.19
04/01/2019 07:00,04/01/2019 01:00,127903.5,9.44
04/01/2019 08:00,04/01/2019 02:00,130431.82,9.55
04/01/2019 09:00,04/01/2019 03:00,135611.56,9.78
04/01/2019 10:00,04/01/2019 04:00,135175.1,9.76
04/01/2019 11:00,04/01/2019 05:00,130052.66,9.54
04/01/2019 12:00,04/01/2019 06:00,124489.3,9.31
04/01/2019 13:00,04/01/2019 07:00,117638.24,9.03
04/01/2019 14:00,04/01/2019 08:00,84256.95,7.8
04/01/2019 15:00,04/01/2019 09:00,30084.89,5.44
04/01/2019 16:00,04/01/2019 10:00,10262.98,3.96
04/01/2019 17:00,04/01/2019 11:00,5845.55,3.45
